"","tpgeschlecht","tpalter_1","ab0500p","dg0102p","gemeindegroessenklasse","db2000p","ea1700p","tb0007p","eb1203pug03","th0202h","ba1100h","tw0110w","ba0100h","ba0600h","ba1300hu01","ba1300hu02","ba1300hu03","ba1300hu04","ba1400h","tw0023g","ba0200h","tw0413w","tl0001p","ed4600p","dj0400h","ba3200h","th0291h","dd0100p","dd0200p"
"73",2,2,1,90,3,1,-3,-3,-3,5,5,"26",1,3,0,1,0,0,2,1,1,"-5",0,-4,-1,-5,18,-4,-4
"74",1,55,2,13,3,1,1,8,493,3,4,"33.5",1,1,0,1,0,0,2,1,1,"-5",1,-4,-1,-5,18,-4,-4
"75",2,55,2,8,3,1,1,3,261,3,4,"33.5",1,1,0,1,0,0,2,1,1,"-5",1,-4,-1,-5,18,-4,-4
"76",2,20,1,3,3,1,1,88,475,3,4,"33.5",1,1,0,1,0,0,2,1,1,"-5",0,-4,-1,-5,18,-4,-4
"77",1,51,2,7,4,1,1,88,812,4,4,"22",1,3,0,1,0,0,3,5,5,"3.5",1,8,-1,435,10,9,99
"78",2,49,2,4,4,2,1,88,812,4,4,"22",1,3,0,1,0,0,3,5,5,"3.5",1,8,-1,435,10,9,99
"79",2,23,1,90,4,2,-2,88,-2,4,4,"22",1,3,0,1,0,0,3,5,5,"3.5",0,-2,-1,435,10,9,99
"80",1,17,1,90,4,2,-2,88,-2,4,4,"22",1,3,0,1,0,0,3,5,5,"3.5",0,-2,-1,435,10,9,99
"81",2,72,3,8,4,1,-2,6,-2,1,2,"53",1,3,0,1,0,0,2,5,5,"6",0,-2,-1,531,8,8,-5
"82",1,66,2,3,4,1,-2,3,-2,2,3,"35",1,3,0,1,0,0,2,5,5,"5.5",1,-2,-1,544,7,8,-5
"83",2,64,2,4,4,1,1,3,812,2,3,"35",1,3,0,1,0,0,2,5,5,"5.5",1,8,-1,544,7,8,-5
"84",1,54,2,11,4,1,1,3,683,2,4,"45",1,3,0,1,0,0,2,5,5,"5",1,8,-1,625,15,9,99
"85",2,57,2,5,4,1,-2,3,-2,2,4,"45",1,3,0,1,0,0,2,5,5,"5",1,-2,-1,625,15,9,99
"86",1,51,2,6,4,1,1,31,812,4,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,10,-4,-4
"87",2,49,2,4,4,2,1,88,812,4,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,10,-4,-4
"88",2,23,1,90,4,2,-2,31,-2,4,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",0,-4,-1,-4,10,-4,-4
"89",1,17,1,90,4,2,-2,88,-2,4,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",0,-4,-1,-4,10,-4,-4
"90",2,72,3,8,4,1,-2,7,-2,1,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",0,-4,-1,-4,8,-4,-4
"91",1,66,2,3,4,1,-2,88,-2,2,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,7,-4,-4
"92",2,64,2,4,4,1,1,88,812,2,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,7,-4,-4
"93",1,55,2,11,4,1,1,3,683,2,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,15,-4,-4
"94",2,58,2,5,4,1,-2,3,-2,2,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,15,-4,-4
"95",2,26,2,8,3,1,1,3,641,2,2,"39",1,7,1,0,0,0,1,10,5,"8.5",1,8,-1,904,19,8,-5
"96",1,26,2,18,3,1,1,18,651,2,2,"39",1,7,1,0,0,0,1,10,5,"8.5",1,3,-1,904,19,8,-5
"97",2,73,2,14,3,1,-2,3,-2,1,3,"98",1,7,1,0,0,0,1,10,5,"7.5",0,-2,-1,1004,14,8,-5
"98",1,73,2,10,3,1,-2,3,-2,2,3,"45.5",1,7,1,0,0,0,1,10,5,"10",1,-2,-1,1200,13,8,-5
"99",2,75,2,3,3,1,-2,3,-2,2,3,"45.5",1,7,1,0,0,0,1,10,5,"10",1,-2,-1,1200,13,8,-5
"100",2,57,2,10,3,1,1,3,749,2,2,"35",1,7,1,0,0,0,1,10,5,"9.5",1,8,-1,947,15,1,2
"101",1,58,2,6,3,1,1,3,494,2,2,"35",1,7,1,0,0,0,1,10,5,"9.5",1,8,-1,947,15,1,4
