Zone,SFD,SFA,MF234,MF5plus,MH,DevCapacity,DevLandUse
273,1,1,1,1,1,53.806915,9.425096645
274,1,1,1,1,1,35.42939,1486.185006
275,1,1,1,1,1,37.857216,8.87965489
276,1,1,1,1,1,214.44449,32.61910013
277,1,1,1,1,1,305.6588,140.7343674
278,1,1,1,1,1,153.2944,85.28132721
279,1,1,1,1,1,166.43875,144.925831
280,1,1,1,1,1,39,72.95725344
281,1,1,1,1,1,66.28868,118.8339176
282,1,1,1,1,1,218.43407,96.61010264
283,1,1,1,1,1,100,124.9544333
284,1,1,1,1,1,102.286606,576.0536976
285,1,1,1,1,1,119.43355,7168.662873
286,1,1,1,1,1,181.27182,4874.704533
287,1,1,1,1,1,290.87274,1796.91362
288,1,1,1,1,1,74.002594,4112.357798
289,1,1,1,1,1,139.8165,4355.055003
290,1,1,1,1,1,216.16891,3862.740741
291,1,1,1,1,1,250.72377,1959.715
292,1,1,1,1,1,192.43355,1891.131971
293,1,1,1,1,1,370.1526,1090.072387
294,1,1,1,1,1,205.00882,6317.1895
295,1,1,1,1,1,10,5520.736786
296,1,1,1,1,1,4,155.6353501
297,1,1,1,1,1,1195.2416,95.2781476
298,1,1,1,1,1,13.429388,110.0688593
299,1,1,1,1,1,31,13.28014158
300,1,1,1,1,1,43,13.98865053
301,1,1,1,1,1,128,8.959909501
302,1,1,1,1,1,149,9.824183309
303,1,1,1,1,1,24,8.072748839
304,1,1,1,1,1,2,7.1061462
305,1,1,1,1,1,38.143303,6.264893673
306,1,1,1,1,1,29,9.84823118
307,1,1,1,1,1,164.14435,8.853626742
308,1,1,1,1,1,154,19.15312345
309,1,1,1,1,1,57.858257,10.37499405
310,1,1,1,1,1,41,25.32641836
311,1,1,1,1,1,217.29388,11.34868063
312,1,1,1,1,1,40.858776,10.2880886
313,1,1,1,1,1,89,9.158819612
314,1,1,1,1,1,52,15.96012291
315,1,1,1,1,1,1.7144343,9.951786274
316,1,1,1,1,1,198.29129,18.47599752
317,1,1,1,1,1,882.6242,6.617525932
318,1,1,1,1,1,176.57425,12.06226703
319,1,1,1,1,1,348.15683,95.37976467
320,1,1,1,1,1,375.44815,102.7320463
321,1,1,1,1,1,274.58258,91.54757186
322,1,1,1,1,1,253.57895,111.2058258
323,1,1,1,1,1,58.860855,121.7833666
324,1,1,1,1,1,41,91.21128438
325,1,1,1,1,1,94,135.9363532
326,1,1,1,1,1,30,244.9273058
327,1,1,1,1,1,114.71703,2081.919083
328,1,1,1,1,1,93.434586,771.9483432
329,1,1,1,1,1,441.92398,110.0609217
330,1,1,1,1,1,886.0408,122.4980615
331,1,1,1,1,1,296,74.59683975
332,1,1,1,1,1,238.5727,9.509014159
333,1,1,1,1,1,151.14487,1211.766998
334,1,1,1,1,1,84,9.263225126
335,1,1,1,1,1,71,24.96949262
336,1,1,1,1,1,69.00104,83.25512096
337,1,1,1,1,1,252.5727,216.5307264
338,1,1,1,1,1,186.08685,150.8406062
339,1,1,1,1,1,44,43.29920246
340,1,1,1,1,1,290.00208,109.3860163
341,1,1,1,1,1,203.57843,15.40690892
342,1,1,1,1,1,25,9.417787687
343,1,1,1,1,1,0,23.58926103
344,1,1,1,1,1,628.7566,6.787797887
345,1,1,1,1,1,241.58519,105.5261765
346,1,1,1,1,1,57,80.38921753
347,1,1,1,1,1,154.8598,59.98481305
348,1,1,1,1,1,51.57321,886.9028461
349,1,1,1,1,1,176.8593,84.47173294
350,1,1,1,1,1,1009.74536,821.124206
351,1,1,1,1,1,165.1633,1048.4925
352,1,1,1,1,1,205.00104,8.23444754
353,1,1,1,1,1,830.7659,23.17629058
354,1,1,1,1,1,176,436.3146863
355,1,1,1,1,1,18,92.05412655
356,1,1,1,1,1,59,66.28166084
357,1,1,1,1,1,27,12.97863304
358,1,1,1,1,1,166.4697,15.88492474
359,1,1,1,1,1,124.14382,10.83740286
360,1,1,1,1,1,145.5779,6.444991094
361,1,1,1,1,1,196.86087,122.7741619
