id,Region,distanceToTransit,BBSR_Type,Pop+Emp,Population,Employment,Area,AGS,Housing,Special,Mixed Use,Industrial,Sport+Rec,remainder,x,y
3203,1,500,10,523,415,107,33161103.790165092796087,12061005,0,0,0,0,0,1.000000000000000,4639831.069,5754981.862
3204,1,500,10,3327,2325,1001,53742032.025106959044933,12066052,0.000274033,0.000190775,0.000280192,4.28843E-05,0.001476963,0.997735153,4636406.61,5735446.288
3205,1,500,10,2198,1783,415,2560000.000000000000000,12066052,0.182432721,0.035266422,0.023427243,0.085017577,0.138875944,0.534980094,4636050,5736600
3206,1,500,10,5424,4253,1170,107757216.759500816464424,12066052,0.006951352,0.00099422,0.00237107,0.002008638,0.00290054,0.984774179,4629446.894,5737207.504
3207,1,500,10,4352,3004,1347,53544349.933297149837017,12066320,0.002487745,0.000871981,0.000245643,0.003546734,0.005134111,0.987713785,4643345.84,5734962.693
3208,1,500,10,4344,3010,1333,49011657.633358873426914,12071244,0,0,0.000152489,0.007646072,0,0.992201439,4649012.334,5737298.275
3209,1,500,10,4371,3254,1117,5888615.122306595556438,12066320,0.101900999,0.007886395,0.03257106,0.206255028,0.089835433,0.561551085,4644825.001,5741103.437
3210,1,500,10,2422,2156,266,12497881.446731008589268,12071244,0.003106227,8.82132E-05,0.000911972,0.006091468,0.00079083,0.98901129,4650416.676,5741019.876
3211,1,500,10,515,381,134,4513422.258883395232260,12071032,0.038592776,0.000231741,0.011287938,0.002762423,0.007118935,0.940006186,4646840.874,5744320.637
3212,1,500,10,2585,2407,178,25067679.441146168857813,12071412,0.030693505,0.000789578,0.002467898,0.006352881,0.00387226,0.955823878,4650815.438,5744427.497
3213,1,500,10,4730,3853,876,19487504.955156456679106,12071244,0.07034549,0.00673219,0.005149044,0.014898864,0.015834051,0.887040361,4655082.953,5736833.048
3214,1,500,10,725,642,83,30898157.758545950055122,12073393,0.011268648,0.0005244,0.01081025,0.006422468,0.010093828,0.960880406,4659717.302,5909064.977
3215,1,500,10,765,632,133,35454998.846999272704124,12073565,0.005708705,0.000863434,0.002725265,0.002417076,0.00381461,0.984470909,4655269.983,5906999.939
3216,1,500,10,4932,2977,1955,7928335.276636417023838,12064448,0.119778113,0.022764805,0.020661911,0.071931555,0.064127068,0.700736548,4660869.083,5824317.444
3217,1,500,10,4968,2684,2283,34768005.548432894051075,12064448,0.019792774,0.001147867,0.007444974,0.020205513,0.020558003,0.930850869,4663390.544,5827766.02
3218,1,500,10,586,572,14,27751397.646861221641302,12064538,3.16461E-05,0,0,0,0,0.999968354,4666352.189,5833698.299
3219,1,500,10,1277,983,294,17438061.475778926163912,12064172,0.023018148,0.001790738,0.006959828,0.013180858,0.017019374,0.938031054,4668957.136,5829656.826
3220,1,500,10,514,488,25,24069963.973970465362072,12064420,0.002252912,0,0,0.00495134,0.001534969,0.991260779,4676081.863,5821471.647
3221,1,500,10,3322,2891,431,46341870.857819132506847,12064266,0.031505693,0.005089578,0.012128037,0.011606287,0.019401987,0.920268418,4674354.923,5828931.284
3222,1,500,10,495,476,19,29668971.705126289278269,12064057,0.011802919,0.000427002,0.010249454,0.000847165,0.009229058,0.967444401,4672109.092,5834200.255
3223,1,500,10,938,860,78,31012436.742314100265503,12064009,0.015300826,0.000572806,0.007887314,0.001810137,0.015291557,0.959137359,4670336.338,5824992.29
3224,1,500,10,1795,1502,293,40095540.809187084436417,12064290,0.014089118,0.001048372,0.004014198,0.007334627,0.00668701,0.966826675,4666240.363,5821136.788
3225,1,500,10,802,638,164,29231459.833453878760338,12064288,0.011384244,0.000981073,0.004834175,0.001802627,0.009222478,0.971775403,4658123.695,5818092.204
3226,1,500,10,1276,1221,54,1686786.543727123178542,12053000,0.029887533,0,0.002296695,2.92406E-06,0,0.967812848,4667444.988,5809680.646
3227,1,500,10,498,484,14,22975199.459166910499334,12064130,0.015213572,0.000474675,0.004407798,0.006084301,0.000777867,0.973041787,4664813.243,5816687.484
3228,1,500,10,927,780,147,27347821.101389288902283,12064128,0.013695742,0.001157412,0.028550243,0.004279647,0.008580361,0.943736594,4657813.129,5813262.885
3229,1,500,10,1757,1302,455,69850726.594130679965019,12064482,0.002323272,5.3033E-05,0.00127935,0.000145537,0.002220915,0.993977894,4656891.772,5823240.504
3230,1,500,10,977,888,89,24958993.091856323182583,12064388,0.022356744,0.00095556,0.002609407,0.01434626,0.011340285,0.948391744,4672631.703,5818804.199
3231,1,500,10,3957,3445,512,54757786.009582139551640,12064268,0.028425498,0.00094189,0.00699879,0.009415931,0.017563908,0.936653983,4670560.962,5814072.161
3232,1,500,10,5423,1936,3486,22219356.121196188032627,12053000,0.02475516,0.001281137,0.009377126,0.005346079,0.012139682,0.947100815,4667072.302,5806149.466
3233,1,500,10,2896,2444,452,51116415.647029384970665,12067237,0.000648092,0,1.52764E-05,0.001356398,0.000235745,0.997744488,4661370.747,5804419.033
3234,1,500,10,115,0,115,1368476.517218139022589,12053000,0,0,0.0054746,0,0,0.9945254,4665378.043,5807333.149
3235,1,500,10,3834,861,2973,22835495.385705534368753,12053000,0.014827529,0.001197401,0.004210841,0.018567382,0.007093289,0.954103558,4666036.872,5798286.395
3236,1,500,10,554,504,50,12417952.795063246041536,12067072,0,0,0,0.000393895,0,0.999606105,4661747.056,5799451.237
3237,1,500,10,729,565,164,45159681.320521600544453,12067310,0.000391858,0,0,0.000952763,0.002224234,0.996431144,4653571.089,5807610.914
3238,1,500,10,300,234,66,11419256.682634381577373,12064480,0.001253822,0,0.00036767,0.00506092,0.000825327,0.992492262,4663708.387,5809371.394
3239,1,500,10,2144,1947,197,40001029.519572161138058,12064539,0.000165411,0,0.000830947,2.69768E-05,0,0.998976665,4662345.17,5812109.4
3240,1,500,10,4336,1577,2759,8784041.543261995539069,12053000,0.036744577,0.000841735,0.019135288,0.011174385,0.004166799,0.927937215,4670225.03,5808257.401
3241,1,500,10,2122,1443,679,2560000.000000000000000,12053000,0.164474154,0.002069129,0.009781297,0.033783713,0.051180864,0.738710843,4671250,5807000
3242,1,500,10,4837,858,3978,2560000.000000000000000,12053000,0.143479006,0.021734159,0.001167733,0.418152391,0.007492495,0.407974216,4669650,5805400
3243,1,500,10,569,197,372,640000.000000000000000,12053000,0.204667969,0.00681994,0.00169986,0.1528374,0.088266736,0.545708095,4670850,5805800
3244,1,500,10,323,99,223,640000.000000000000000,12053000,0.117046824,0.052672662,0,0.058455649,0.103488856,0.668336009,4671650,5805800
3245,1,500,10,1768,877,891,640000.000000000000000,12053000,0.205692002,0.004281843,0.022042968,0.300421621,0.259950877,0.207610689,4670850,5805000
3246,1,500,10,4183,2918,1264,640000.000000000000000,12053000,0.181492161,0.016205976,0.01570853,0.482995164,0.07237183,0.231226338,4671650,5805000
3247,1,500,10,351,11,339,2560000.000000000000000,12053000,0.011839284,0.000164685,0,0.03737622,0.058264284,0.892355526,4669650,5803800
3248,1,500,10,4700,2772,1927,2560000.000000000000000,12053000,0.213467733,0.067871787,0.009928095,0.120581773,0.247839136,0.340311476,4671250,5803800
3249,1,500,10,2131,1411,719,640000.000000000000000,12053000,0.135684005,0.066619507,0.006807468,0.237496842,0.228429492,0.324962687,4672450,5805800
3250,1,500,10,5031,3563,1468,927389.783000665949658,12053000,0.207959647,0.077198721,0.012883957,0.285295155,0.051204238,0.365458282,4673429.725,5805802.545
3251,1,500,10,1580,1412,167,640000.000000000000000,12053000,0.227142303,0.07113693,0,0.019765115,0.145612353,0.536343299,4672450,5805000
3252,1,500,10,1322,1277,45,160000.000000000000000,12053000,0.515843945,0.061545221,0,0.027428688,0.17507028,0.220111865,4673050,5805200
3253,1,500,10,5063,4572,491,502710.383927457034588,12053000,0.127243393,0.048716125,0.017472808,0.020430105,0.081833461,0.704304107,4673738.164,5805033.081
3254,1,500,10,939,892,47,160000.000000000000000,12053000,0.325108018,0.110541049,0,0.000130001,0.246689023,0.317531909,4673050,5804800
3255,1,500,10,2261,2161,99,160000.000000000000000,12053000,0.370090537,0.139922953,0.009495047,0.035900043,0.274189718,0.170401703,4673450,5804800
3256,1,500,10,1657,826,830,640000.000000000000000,12053000,0.263946546,0.031095691,0.039523769,0.1802443,0.173521364,0.31166833,4672450,5804200
3257,1,500,10,3571,3006,565,640000.000000000000000,12053000,0.300032466,0.119666422,0.023398949,0.059741336,0.175556026,0.3216048,4673250,5804200
3258,1,500,10,4802,4242,560,640000.000000000000000,12053000,0.358262254,0.157123884,0.017731867,0.055207537,0.172547325,0.239127132,4672450,5803400
3259,1,500,10,1176,958,218,160000.000000000000000,12053000,0.161853824,0.093225726,0.014816626,0.247924789,0.06340235,0.418776685,4673050,5803600
3260,1,500,10,1721,1627,93,160000.000000000000000,12053000,0.066210229,1.05084E-06,0.021643845,0.077856165,0.076702473,0.757586237,4673450,5803600
3261,1,500,10,717,518,198,160000.000000000000000,12053000,0.303889051,0.124361119,0.047940944,0.060227999,0.089595589,0.373985297,4673050,5803200
3262,1,500,10,1605,1493,111,160000.000000000000000,12053000,0.28768334,0.103473917,0.026210768,0.01187171,0.160702357,0.410057908,4673450,5803200
3263,1,500,10,5368,3684,1684,1611448.185868299799040,12053000,0.136275549,0.079319755,0.034597284,0.0933856,0.236023234,0.420398577,4674165.251,5803738.248
3264,1,500,10,3472,695,2776,5128598.636368291452527,12053000,0.037022924,0.006605844,0.011035973,0.103334222,0.03948144,0.802519596,4672893.67,5807602.889
3265,1,500,10,5301,632,4669,12799713.427387369796634,12053000,0.001114735,0.000490342,0.001795077,0.017337385,0.018326727,0.960935735,4667730.046,5801559.968
3266,1,500,10,4836,3190,1645,2560000.000000000000000,12053000,0.169985925,0.103253617,0.002551061,0.093145556,0.132653282,0.498410559,4671250,5802200
3267,1,500,10,2285,393,1891,2560000.000000000000000,12053000,0.085730635,0.008461367,0.007002142,0.174089192,0.135260767,0.589455897,4669650,5800600
3268,1,500,10,744,374,369,640000.000000000000000,12053000,0.244300482,0.106474144,0.010916699,0.039339505,0.072068303,0.526900866,4672450,5802600
3269,1,500,10,2361,2024,336,640000.000000000000000,12053000,0.116659303,0.102731264,0.005023207,0.049224396,0.415747371,0.310614458,4673250,5802600
3270,1,500,10,1403,0,1403,640000.000000000000000,12053000,0.007390356,0.108801081,0.107497563,0.101655635,0.118102553,0.556552812,4672450,5801800
3271,1,500,10,847,622,224,640000.000000000000000,12053000,0.092409992,0.042983209,0,0.067063488,0.391540405,0.406002905,4673250,5801800
3272,1,500,10,5135,3121,2013,7277318.312188860960305,12053000,0.090915766,0.004324003,0.010924945,0.030767128,0.10091216,0.762155997,4673857.396,5801050.167
3273,1,500,10,2825,2450,375,13663156.239148411899805,12067076,0,0,0,0.000191268,0,0.999808732,4675269.25,5794833.6
3274,1,500,10,1839,1734,105,15259976.897267969325185,12067180,0.00024641,0,0,1.65852E-05,0.000605709,0.999131295,4671853.132,5792777.816
3275,1,500,10,528,494,34,43804123.256229348480701,12067397,0.008404311,0.000136481,0.00208416,0.000667718,0.002615415,0.986091914,4658822.496,5789713.956
3276,1,500,10,1064,990,74,13349831.244229026138783,12067324,0.027111194,0.000260438,0.006138105,0.001879087,0.00969837,0.954912807,4664715.81,5787194.489
3277,1,500,10,3877,2409,1468,58482277.985789820551872,12067336,0.014290331,0.00228727,0.001652665,0.007476584,0.008081599,0.966211552,4663965.214,5794410.145
3278,1,500,10,2407,2020,387,10666571.468396784737706,12067336,0.071265057,0.004565456,0.001969686,0.011596802,0.041017595,0.869585404,4664119.364,5791764.198
3279,1,500,10,639,584,54,45331054.636796049773693,12067205,0.000716194,0,5.89514E-05,0.000283577,5.23224E-05,0.998888955,4666552.05,5780037.429
3280,1,500,10,1749,1650,99,73811028.708891987800598,12067458,0.001684589,3.76518E-05,0.000455867,0.000225796,0.004443138,0.993152958,4671607.994,5787530.197
3281,1,500,10,3808,3618,189,53747481.339364252984524,12067072,0,0,0,0,0,1.000000000000000,4654684.924,5801211.986
3282,1,500,10,3375,1381,1994,15304101.919969739392400,12067120,0.000202366,0,0,0.104818981,0.003001958,0.891976694,4683025.539,5786207.808
3283,1,500,10,1813,1654,159,28726849.563384607434273,12067552,0.022578952,0.001088769,0.001049614,0.001372784,0.003258971,0.97065091,4682075.544,5791125.055
3284,1,500,10,5168,273,4894,13629398.929922653362155,12067120,0.001583226,0.000384804,0.000293241,0.397635506,0.000901412,0.59920181,4679088.498,5786252.471
3285,1,500,10,5084,1430,3653,37951301.529583603143692,12053000,0,0,0,0.001432342,0.017452419,0.98111524,4672415.168,5797785.428
3286,1,500,10,534,444,90,5766912.271649094298482,12067508,0.055137838,0.000388808,0.002283136,0.02427881,0.037456753,0.880454655,4682121.432,5786712.45
3287,1,500,10,1611,1322,289,29660258.211778633296490,12067528,0.014901934,0.000922157,0.019157456,0.007134804,0.015398048,0.942485602,4678576.269,5792966.587
3288,1,500,10,4542,2573,1968,16282761.685873381793499,12067120,0.029812999,0.000597288,0.00100513,0.004448526,0.013850691,0.950285366,4678262.765,5780992.078
3289,1,500,10,2059,1704,355,640000.000000000000000,12067120,0.274374043,0.064925795,0.008552682,0.233892128,0.307758808,0.110496545,4679650,5783400
3290,1,500,10,3756,3597,159,640000.000000000000000,12067120,0.530288714,0.118368607,0.000815511,0.015106854,0.155485244,0.179935072,4679650,5782600
3291,1,500,10,1576,1165,411,640000.000000000000000,12067120,0.014928276,0.016177587,0.002022174,0.630186836,0.131645093,0.205040035,4680450,5783400
3292,1,500,10,481,32,449,640000.000000000000000,12067120,0.004729298,0.004375605,0,0.78823241,0.003077942,0.199584746,4681250,5783400
3293,1,500,10,3710,3512,198,640000.000000000000000,12067120,0.334904022,0.093581326,0.002084674,0.095741874,0.191950697,0.281737408,4680450,5782600
3294,1,500,10,483,102,380,640000.000000000000000,12067120,0.051933322,0.018117145,0.002518135,0.557091737,0.107360806,0.262978855,4681250,5782600
3295,1,500,10,3182,3032,149,640000.000000000000000,12067120,0.249570385,0.108946564,0,0.037357576,0.447093435,0.157032041,4680450,5781800
3296,1,500,10,2527,2136,390,640000.000000000000000,12067120,0.196893729,0.096534282,0.014862265,0.04168378,0.368746146,0.281279798,4681250,5781800
3297,1,500,10,4933,3395,1538,9003523.816619344055653,12067120,0.015433282,0.019537378,0,0.011287559,0.062715149,0.891026632,4682746.089,5780046.981
3298,1,500,10,1209,1196,12,160000.000000000000000,12067357,0.274337354,0.028658549,0.037860377,0.025682047,0.235631575,0.397830097,4681450,5776400
3299,1,500,10,4505,4286,219,4298237.074736094102263,12067357,0.043961893,0.004751381,0.001000856,0.000702788,0.022605595,0.926977486,4679816.064,5776544.591
3300,1,500,10,612,571,41,6082102.873066697269678,12067292,0,0,0,0,0.000319465,0.999680535,4680719.193,5778687.906
3301,1,500,10,1905,1608,297,132235165.367866337299347,12061450,0,0.000228885,0,0,0,0.999771115,4651843.26,5763936.405
3302,1,500,10,2912,2357,554,10508934.825348259881139,12071160,0,0,0,0,0,1.000000000000000,4684573.826,5765737.597
3303,1,500,10,1802,1610,192,72564247.834507048130035,12061308,0.007606862,0.000629154,0.001640772,0.003958271,0.008212577,0.977952363,4658794.567,5765041.196
3304,1,500,10,596,582,14,44155027.920136258006096,12061224,0.008749124,0.000268116,0.000757186,0.001815849,0.004576785,0.98383294,4662760.947,5768198.404
3305,1,500,10,2082,1941,141,52303930.164105743169785,12067438,0.019655496,0.000899807,0.00136598,0.004283682,0.002978527,0.970816508,4672326.471,5781300.958
3306,1,500,10,5433,4835,598,131672364.136397540569305,12067357,0.009519591,0.000152664,0.002061279,0.002499466,0.007526247,0.978240753,4677127.791,5772971.944
3307,1,500,10,608,309,298,640000.000000000000000,12067120,0.028322316,0.000997881,0.001558194,0.484496164,0.037621987,0.447003458,4682050,5783400
3308,1,500,10,1479,261,1217,640000.000000000000000,12067120,0.079501173,0.028382506,0.059365709,0.289594089,0.127315784,0.415840739,4682850,5783400
3309,1,500,10,1101,660,441,640000.000000000000000,12067120,0.295656554,0.072891755,0.009866319,0.315932258,0.086918729,0.218734384,4682050,5782600
3310,1,500,10,5466,2839,2626,1688032.273135842988268,12067120,0.174326713,0.014682685,0.036908019,0.004382373,0.059135362,0.710564848,4683353.639,5782991.427
3311,1,500,10,2956,2598,357,640000.000000000000000,12067120,0.208796315,0.046863009,0.014509836,0.081206142,0.364557771,0.284066928,4682050,5781800
3312,1,500,10,1599,1471,128,42469483.521074153482914,12067338,0.015762995,0.000361458,0.002271949,0.005193696,0.00543157,0.970978331,4686013.947,5772577.762
3313,1,500,10,4755,3025,1730,11417819.805709261447191,12071160,0.00891662,0.001803117,0.000240557,0.003059897,0.007391082,0.978588727,4684545.218,5762894.542
3314,1,500,10,2974,2631,342,640000.000000000000000,12071160,0.399138151,0.046218828,0.030223028,0.073605219,0.203442932,0.247371842,4684450,5761000
3315,1,500,10,4652,3727,924,3490413.353850187733769,12071160,0.062566604,0.004644424,0.001866496,0.015707864,0.034467656,0.880746955,4683095.827,5760420.173
3316,1,500,10,4699,4073,626,214516432.781505644321442,12071337,0,0,0,1.09695E-06,0,0.999998903,4675153.287,5762035.374
